nganh_cap_1,nganh_cap_2,nganh_cap_3,nganh_cap_4,nganh_cap_5,ma_nganh,mo_ta_vi_du
Sức Khỏe,Vật tư y tế,Hỗ trợ chấn thương và khuyết tật,Xe lăn,-,100431,
Sức Khỏe,Vật tư y tế,Hỗ trợ chấn thương và khuyết tật,Dụng cụ nẹp và hỗ trợ khớp,-,100432,
Sức Khỏe,Vật tư y tế,Hỗ trợ chấn thương và khuyết tật,Trợ thính,-,100433,
Sức Khỏe,Chăm sóc cá nhân,Dung dịch sát khuẩn tay,-,-,100131,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc mắt,Kính áp tròng,-,100435,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc mắt,Thuốc nhỏ mắt và ngâm áp tròng,-,100436,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc mắt,Khác,-,100437,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc tai,-,-,100133,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Bàn chải đánh răng,-,100438,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Bàn chải điện & phụ kiện,-,100439,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Kem đánh răng,-,100440,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Chỉ nha khoa,-,100441,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Nước súc miệng,-,100442,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Răng giả và phụ kiện,-,100443,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Hỗ trợ trắng răng,-,100444,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Dụng cụ hỗ trợ chỉnh nha,-,100445,
Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,Khác,-,100446,
Sức Khỏe,Chăm sóc cá nhân,Tã người lớn,-,-,100135,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,Băng vệ sinh có cánh & không cánh,-,100447,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,Tampon,-,100448,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,Que thử thai,-,100449,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,Cốc nguyệt san,-,100450,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,Dung dịch vệ sinh phụ nữ,-,100451,
Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,Kem dưỡng vùng kín,-,100452,
Sức Khỏe,Chăm sóc cá nhân,Dụng cụ massage và trị liệu,-,-,100137,
Sức Khỏe,Chăm sóc cá nhân,Chống muỗi & xua đuổi côn trùng,-,-,100138,
Sức Khỏe,Hỗ trợ tình dục,Bao cao su,-,-,100140,
Sức Khỏe,Hỗ trợ tình dục,Bôi trơn,-,-,100141,
Sức Khỏe,Hỗ trợ tình dục,Tăng cường sinh lý,-,-,100143,
Phụ Kiện Thời Trang,Nhẫn,-,-,-,100021,
Phụ Kiện Thời Trang,Bông tai,-,-,-,100022,
Phụ Kiện Thời Trang,Khăn choàng,-,-,-,100023,
Phụ Kiện Thời Trang,Găng tay,-,-,-,100024,
Phụ Kiện Thời Trang,Phụ kiện tóc,Băng đô tóc,-,-,100145,
Phụ Kiện Thời Trang,Phụ kiện tóc,Đồ buộc tóc & Nơ,-,-,100146,
Phụ Kiện Thời Trang,Phụ kiện tóc,Kẹp tóc,-,-,100147,
Phụ Kiện Thời Trang,Phụ kiện tóc,Tóc giả & Tóc nối,-,-,100148,
Phụ Kiện Thời Trang,Phụ kiện tóc,"Cài tóc, vương miện cài tóc",-,-,100149,
Phụ Kiện Thời Trang,Vòng tay & Lắc tay,-,-,-,100026,
Phụ Kiện Thời Trang,Lắc chân,-,-,-,100027,
Phụ Kiện Thời Trang,Mũ,-,-,-,100028,
Phụ Kiện Thời Trang,Dây chuyền,-,-,-,100029,
Phụ Kiện Thời Trang,Kính mắt,Kính mát,-,-,100151,
Phụ Kiện Thời Trang,Kính mắt,Gọng kính,-,-,100152,
Phụ Kiện Thời Trang,Kính mắt,Hộp kính và phụ kiện,-,-,100153,
Phụ Kiện Thời Trang,Kính mắt,Khác,-,-,100154,
Phụ Kiện Thời Trang,Kim loại quý,Platinum & Vàng,-,-,100155,
Phụ Kiện Thời Trang,Kim loại quý,Bạc,-,-,100156,
Phụ Kiện Thời Trang,Kim loại quý,Kim cương,-,-,100157,
Phụ Kiện Thời Trang,Kim loại quý,"Ngọc bích, Cẩm thạch",-,-,100158,
Phụ Kiện Thời Trang,Kim loại quý,Khác,-,-,100159,
Phụ Kiện Thời Trang,Thắt lưng,-,-,-,100032,
Phụ Kiện Thời Trang,Cà vạt & Nơ cổ,-,-,-,100033,
Phụ Kiện Thời Trang,Phụ kiện thêm,Trâm & Ghim cài áo,-,-,100160,
Phụ Kiện Thời Trang,Phụ kiện thêm,Miếng vá áo,-,-,100161,
Phụ Kiện Thời Trang,Phụ kiện thêm,Mặt dây chuyền và Charm,-,-,100162,
Phụ Kiện Thời Trang,Phụ kiện thêm,Măng sét nam,-,-,100163,
Phụ Kiện Thời Trang,Phụ kiện thêm,Hình xăm dán,-,-,100164,
Phụ Kiện Thời Trang,Phụ kiện thêm,Khẩu trang thời trang,-,-,100165,
Phụ Kiện Thời Trang,Phụ kiện thêm,Khăn tay,-,-,100166,
Phụ Kiện Thời Trang,Phụ kiện thêm,Khác,-,-,100167,
Phụ Kiện Thời Trang,Bộ phụ kiện,-,-,-,100035,
Thiết Bị Điện Gia Dụng,Máy chiếu & Phụ kiện,Máy chiếu & Màn hình chiếu,-,-,100168,
Thiết Bị Điện Gia Dụng,Máy chiếu & Phụ kiện,Bút trình chiếu,-,-,100169,
Thiết Bị Điện Gia Dụng,Máy chiếu & Phụ kiện,Khác,-,-,100170,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Thiết bị vệ sinh chân & Thư giãn,-,-,100171,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Máy tăm nước,-,-,100172,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Máy may & Phụ kiện,-,-,100173,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Điện thoại,Điện thoại có dây,-,100454,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Điện thoại,Điện thoại không dây,-,100455,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Điện thoại,Máy fax,-,100456,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Bàn là khô & Hơi nước,-,-,100175,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Thiết bị xử lý không khí,Máy lọc không khí,-,100458,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Thiết bị xử lý không khí,Máy hút ẩm,-,100459,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Máy hút bụi & Thiết bị làm sạch sàn,-,-,100177,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng nhỏ,Khác,-,-,100178,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Máy giặt & Máy sấy,Máy giặt,-,100461,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Máy giặt & Máy sấy,Máy sấy quần áo,-,100462,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Máy nước nóng,-,-,100180,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Thiết bị làm mát,Điều hòa,-,100464,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Thiết bị làm mát,Máy làm mát không khí & Điều hoà cầm tay,-,100465,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Thiết bị làm mát,Quạt,-,100466,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Thiết bị sấy khô nệm & Giày,-,-,100182,
Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Máy sưởi,-,-,100183,
